"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" , "Avg_TotalPress" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          49,      -4.485138388,      -1.416026598,      -1.430235596,      0.9738235019,       -7.35811758,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.01994604941,    -0.06755289721,                 0,                 0,                 0,    -0.09709109938,     0.02345415951,    -0.06641642274,                 0,      -3.386780802,   0.0001250203219
          0,           0,          50,      -4.487357183,      -1.417461493,       -1.43517273,       0.967596733,      -7.352201992,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02191623442,    -0.02285955794,                 0,                 0,                 0,     0.02250573108,      0.0230825758,    -0.02168122263,                 0,      -1.043042226,   0.0001250203219
          0,           0,          51,      -4.463351115,      -1.422294734,      -1.452584964,      0.9904009785,      -7.342127225,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02555318661,      0.1028820788,                 0,                 0,                 0,      0.2870759311,     0.02013373489,       0.104078433,                 0,       4.026193694,   0.0001250203219
          0,           0,          52,      -4.382252499,      -1.440287845,      -1.512571234,        1.07438791,      -7.337507456,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02644998681,      0.1364541835,                 0,                 0,                 0,      0.3548308002,     0.01927227785,      0.1376514631,                 0,       5.158950908,   0.0001250203219
          0,           0,          53,      -4.356731723,      -1.447367469,       -1.53034678,       1.098908634,      -7.331893129,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.02814318381,      0.2088794563,                 0,                 0,                 0,      0.4889862672,     0.01717270847,      0.2100660947,                 0,        7.42202651,   0.0001250203219
          0,           0,          54,      -4.318989924,      -1.457717001,      -1.566431234,        1.13777733,      -7.322501924,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03090132202,      0.3523685543,                 0,                 0,                 0,      0.7201337402,     0.01241742759,      0.3535028957,                 0,       11.40302522,   0.0001250203219
          0,           0,          55,      -4.300739153,      -1.463134124,      -1.613189319,       1.157887217,      -7.318025093,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,       0.031545997,       0.388056502,                 0,                 0,                 0,      0.7754031612,      0.0111934562,       0.389175674,                 0,       12.30129141,   0.0001250203219
          0,           0,          56,      -4.299416293,      -1.464735181,      -1.618310276,       1.158172693,      -7.312740867,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03265256943,      0.4549988148,                 0,                 0,                 0,       0.871270971,    0.008795022155,      0.4560841582,                 0,       13.93454858,   0.0001250203219
          0,           0,          57,      -4.311586847,      -1.459863466,      -1.614152911,       1.146138203,      -7.303791276,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03385122947,      0.5562370632,                 0,                 0,                 0,      0.9910929822,     0.00469363894,      0.5572463961,                 0,       16.43181272,   0.0001250203219
          0,           0,          58,      -4.389771947,      -1.439154391,      -1.577539329,       1.068446712,      -7.299387218,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                   0,                    0,                          0,                 0,                 0,       401.9977987,     0.03407569161,      0.5794340571,                 0,                 0,                 0,       1.016246186,    0.003703756603,      0.5804233467,                 0,       17.00432272,   0.0001250203219
